regime,sub_regime,score,threshold,predicted,target,Date,speed_rpm,Current,temp_mot,Anomaly_Details
2,-1,0.06712543366249674,-0.03883385806460286,0,0,2020-12-02 17:34:18.019,7893.080916,1.437473,36.977145,
0,-1,0.04481149184446448,-0.028261093587785634,0,0,2020-12-02 17:34:22.418,7879.241469,1.809848,36.976651,
2,-1,0.06625131749660362,-0.03883385806460286,0,0,2020-12-02 17:34:26.819,7865.565336,1.488396,36.945057,
2,-1,0.08381069393696933,-0.03883385806460286,0,0,2020-12-02 17:34:31.223,7919.087279,1.456569,36.993069,
2,-1,0.06558868747080254,-0.03883385806460286,0,0,2020-12-02 17:34:35.623,7871.145832,1.198771,36.998297,
0,-1,0.03975431546915875,-0.028261093587785634,0,0,2020-12-02 17:34:40.025,7863.072635,1.816213,36.989368,
2,-1,0.08330298880511738,-0.03883385806460286,0,0,2020-12-02 17:34:44.419,7886.202609,1.491579,37.009848,
0,-1,0.03765898363019837,-0.028261093587785634,0,0,2020-12-02 17:34:48.820,7850.977787,1.631617,37.022641,
0,-1,0.03947516083132796,-0.028261093587785634,0,0,2020-12-02 17:34:53.258,7847.430556,1.727098,37.037623,
0,-1,0.048536001686641794,-0.028261093587785634,0,0,2020-12-02 17:34:57.623,7832.158462,1.784386,37.083904,
0,-1,0.04763914154046922,-0.028261093587785634,0,0,2020-12-02 17:35:02.022,7830.421655,1.816213,37.104189,
2,-1,0.07592312733543821,-0.03883385806460286,0,0,2020-12-02 17:35:06.421,7790.083031,1.367454,37.118048,
0,-1,0.044989294700958915,-0.028261093587785634,0,0,2020-12-02 17:35:10.825,7797.05702,1.73028,37.120582,
2,-1,0.08545863384662983,-0.03883385806460286,0,0,2020-12-02 17:35:15.222,7805.712311,1.415194,37.150688,
0,-1,0.040984334357527574,-0.028261093587785634,0,0,2020-12-02 17:35:19.619,7887.898863,1.637982,37.186117,
0,-1,0.04253530950327278,-0.028261093587785634,0,0,2020-12-02 17:35:24.020,7822.329001,1.704819,37.191733,
0,-1,0.00802138344498099,-0.028261093587785634,0,0,2020-12-02 17:35:28.420,7787.097277,1.497944,37.222082,
0,-1,0.04302576699913341,-0.028261093587785634,0,0,2020-12-02 17:35:32.823,7863.931217,1.615704,37.192482,
0,-1,0.04150014208356023,-0.028261093587785634,0,0,2020-12-02 17:35:37.224,7863.697861,1.596607,37.227693,
0,-1,0.04131909556855218,-0.028261093587785634,0,0,2020-12-02 17:35:41.619,7871.758176,1.860771,37.227012,
0,-1,0.0257472689212227,-0.028261093587785634,0,0,2020-12-02 17:35:46.020,7867.387505,1.555232,37.237121,
0,-1,0.04286897582663313,-0.028261093587785634,0,0,2020-12-02 17:35:50.422,7859.962379,1.653896,37.25198,
0,-1,0.04619228201190517,-0.028261093587785634,0,0,2020-12-02 17:35:54.820,7915.058729,1.819396,37.291759,
0,-1,0.03415349499412845,-0.028261093587785634,0,0,2020-12-02 17:35:59.225,7894.428523,1.695271,37.328211,
2,-1,0.07082091921977335,-0.03883385806460286,0,0,2020-12-02 17:36:03.621,7903.548933,1.4693,37.355073,
0,-1,0.03647087517111719,-0.028261093587785634,0,0,2020-12-02 17:36:08.020,7881.765857,1.672992,37.340206,
0,-1,0.03652392650189196,-0.028261093587785634,0,0,2020-12-02 17:36:12.424,7858.509489,1.720732,37.336069,
2,-1,0.06635218673685489,-0.03883385806460286,0,0,2020-12-02 17:36:16.825,7835.891381,1.501127,37.324825,
2,-1,0.06265804816342141,-0.03883385806460286,0,0,2020-12-02 17:36:21.221,7811.834663,1.466117,37.337808,
0,-1,0.03530993038650743,-0.028261093587785634,0,0,2020-12-02 17:36:25.620,7854.915649,1.596607,37.291508,
0,-1,0.018170694970241874,-0.028261093587785634,0,0,2020-12-02 17:36:30.020,7884.463619,1.587059,37.302221,
2,-1,0.07279985913692838,-0.03883385806460286,0,0,2020-12-02 17:36:34.424,7917.14316,1.4693,37.296846,
0,-1,0.0208606615475867,-0.028261093587785634,0,0,2020-12-02 17:36:38.835,7882.806745,1.561598,37.287751,
0,-1,0.012110823003528892,-0.028261093587785634,0,0,2020-12-02 17:36:43.227,7862.251554,1.539319,37.292312,
0,-1,0.017368927657172017,-0.028261093587785634,0,0,2020-12-02 17:36:47.621,7861.779007,1.580694,37.29632,
1,1,-0.04094564813859991,-0.0322828780914846,1,0,2020-12-02 17:36:52.021,9345.95656,2.284069,37.278193,
1,0,-0.04639867936229414,-0.036093780023826495,1,0,2020-12-02 17:36:56.424,10726.501096,2.39228,37.30472,
1,0,-0.040968297918584695,-0.036093780023826495,1,0,2020-12-02 17:37:00.822,10763.589833,3.073376,37.562547,
1,0,-0.016580905701109816,-0.036093780023826495,0,0,2020-12-02 17:37:05.221,10657.247011,2.147213,37.842237,
1,0,-0.001259201833652801,-0.036093780023826495,0,0,2020-12-02 17:37:09.622,10448.206474,3.006539,38.09653,
1,0,0.02269584939598024,-0.036093780023826495,0,0,2020-12-02 17:37:14.027,10456.14963,2.420924,38.463017,
1,0,0.0006672259207297637,-0.036093780023826495,0,0,2020-12-02 17:37:18.424,10396.884072,3.219779,38.859187,
1,0,0.016007799609232043,-0.036093780023826495,0,0,2020-12-02 17:37:22.822,10268.451542,2.484578,39.305192,
1,0,0.006859870498355514,-0.036093780023826495,0,0,2020-12-02 17:37:27.229,10093.75294,2.22678,39.735369,
1,0,-0.031066157621445045,-0.036093780023826495,0,0,2020-12-02 17:37:31.625,9984.56004,2.089924,40.152025,
1,0,-0.021096256562360027,-0.036093780023826495,0,0,2020-12-02 17:37:36.042,10099.25962,2.510039,40.631084,
1,0,-0.01891932053371581,-0.036093780023826495,0,0,2020-12-02 17:37:40.427,10098.274132,2.643712,41.146048,
1,0,-0.02802057575000616,-0.036093780023826495,0,0,2020-12-02 17:37:44.820,10181.701523,2.34454,41.684726,
1,0,-0.014558036182242717,-0.036093780023826495,0,0,2020-12-02 17:37:49.228,10206.149094,2.538684,42.267935,
1,0,-0.012880214608448015,-0.036093780023826495,0,0,2020-12-02 17:37:53.629,10215.98677,2.44002,42.84653,
1,0,-0.009409453265391998,-0.036093780023826495,0,0,2020-12-02 17:37:58.022,10194.361121,2.618251,43.483706,
1,0,-0.02343931286335188,-0.036093780023826495,0,0,2020-12-02 17:38:02.535,10148.49604,2.395463,44.118248,
1,0,-0.012933441642092314,-0.036093780023826495,0,0,2020-12-02 17:38:06.825,10165.505713,2.611886,44.740443,
1,0,-0.012771080462134599,-0.036093780023826495,0,0,2020-12-02 17:38:11.231,10142.367363,2.675539,45.331056,
1,0,-0.02928775076949164,-0.036093780023826495,0,0,2020-12-02 17:38:15.626,10093.542071,2.981078,45.960612,
1,0,-0.013897727495318701,-0.036093780023826495,0,0,2020-12-02 17:38:20.020,10096.176087,2.729645,46.55187,
1,0,-0.027555123560620398,-0.036093780023826495,0,0,2020-12-02 17:38:24.427,10078.784059,3.022453,47.171705,
1,0,-0.023049438263264554,-0.036093780023826495,0,0,2020-12-02 17:38:28.827,10096.337159,2.745559,47.794081,
1,0,-0.03317164938281636,-0.036093780023826495,0,0,2020-12-02 17:38:33.221,10033.237377,2.124934,48.331423,
1,0,-0.012685054592332046,-0.036093780023826495,0,0,2020-12-02 17:38:37.625,10002.644833,2.646895,48.908502,
1,0,-0.03774415027365041,-0.036093780023826495,1,0,2020-12-02 17:38:42.023,9971.562202,2.121751,49.516261,
1,0,-0.02018078229143394,-0.036093780023826495,0,0,2020-12-02 17:38:46.424,10026.009375,2.328626,50.076577,
1,0,-0.0029331761439077564,-0.036093780023826495,0,0,2020-12-02 17:38:50.832,9983.700407,2.637347,50.682379,
1,1,-0.0010218566550648234,-0.0322828780914846,0,0,2020-12-02 17:38:55.224,9927.027871,2.287251,51.299059,
1,0,-0.001156626241609393,-0.036093780023826495,0,0,2020-12-02 17:38:59.621,9930.0,2.777385,51.915777,
1,0,-0.02064719770909451,-0.036093780023826495,0,0,2020-12-02 17:39:04.026,9939.259094,2.942885,52.423128,
1,1,-0.03306819856085352,-0.0322828780914846,1,0,2020-12-02 17:39:08.422,9865.4037,3.152943,52.947217,
1,1,0.0035380893628088605,-0.0322828780914846,0,0,2020-12-02 17:39:12.821,9848.388217,2.233145,53.414082,
